it;exchange;exchange;exchange;exchangeRand;exchangeRand;exchangeRand;swap;swap;swap;inversion;inversion;inversion;scramble;scramble;scramble;randShuffle;randShuffle;randShuffle;add;add;add;addRand;addRand;addRand
163;24;1013,69;1000,26;34;1015,63;987,825;28;1015,6;997,383;29;1013,69;977,224;35;1015,63;983,034;32;1013,69;860,029;29;1013,74;989,123;29;1015,64;997,147
164;32;1013,69;993,938;32;1015,64;985,733;25;1015,63;988,227;23;1015,63;975,287;34;1013,74;965,913;28;1013,57;850,614;36;1015,64;1002,11;30;1015,63;995,114
165;22;1015,63;988,524;33;1015,63;985,137;21;1015,64;984,811;35;1015,64;982,327;40;1015,63;971,145;42;1015,64;860,083;24;1016,51;994,018;23;1015,66;995,201
166;23;1015,64;982,089;37;1015,64;988,049;32;1015,69;999,799;17;1015,63;972,595;33;1015,63;977,709;36;1015,64;849,386;39;1015,64;987,613;23;1015,64;980,907
167;20;1015,63;1004,02;30;1015,64;977,429;31;1015,64;986,047;26;1015,64;973,624;37;1015,64;966,793;35;1015,69;851,811;31;1015,64;993,999;30;1015,69;990,071
168;31;1015,69;994,292;28;1015,69;979,515;27;1015,63;978,912;17;1015,64;974,196;32;1015,69;976,968;38;1015,69;861,86;33;1015,69;987,986;34;1015,69;988,316
169;25;1015,69;1000,15;34;1015,69;984,288;29;1015,7;995,813;25;1015,69;973,578;35;1015,69;966,105;33;1015,69;849,272;34;1015,69;998,562;25;1015,69;980,169
170;25;1015,69;1003,58;33;1016,63;987,454;28;1015,69;992,353;27;1015,7;965,77;33;1015,69;973,944;39;1015,69;836,816;32;1015,7;981,049;23;1015,69;1000,73
171;31;1023,52;1008,6;23;1015,7;976,601;23;1015,69;997,833;28;1016,63;953,916;40;1015,69;968,218;34;1015,7;841,298;31;1015,69;978,65;30;1015,7;990,19
172;19;1015,7;994,26;35;1023,52;984,531;28;1016,51;995,551;22;1015,7;960,912;52;1023,52;970,771;32;1016,63;823,482;21;1015,7;1002,76;31;1016,63;992,55
173;29;1023,52;1003,56;31;1015,7;990,651;16;1023,51;955,597;27;1015,7;957,045;36;1023,48;965,776;50;1023,52;861,642;23;1023,52;975,662;28;1015,7;992,812
174;29;1023,52;1010,87;19;1023,52;993,252;29;1023,52;989,602;29;1023,52;975,746;32;1023,52;951,922;34;1023,52;850,356;35;1023,52;995,967;33;1023,52;994,074
175;25;1023,53;1011,92;24;1023,52;989,021;25;1023,52;1006,53;22;1023,52;971,914;45;1023,52;971,386;41;1023,52;851,327;34;1023,52;994,336;24;1023,52;998,017
176;32;1023,52;1004,1;30;1023,52;1000,18;21;1023,52;956,581;34;1023,54;975,754;33;1023,52;975,79;26;1023,52;855,086;41;1023,52;1001,14;23;1022,64;993,404
177;28;1023,52;1003,57;30;1023,52;988,892;19;1023,52;1006,63;29;1023,52;980,397;31;1023,56;994,729;43;1023,52;855,754;34;1023,53;1003,9;26;1023,52;985,862
178;27;1023,52;998,311;28;1023,52;1000,57;27;1023,52;998,597;26;1023,56;974,813;42;1023,52;972,97;26;1023,53;876,564;40;1023,52;1000,66;24;1023,52;1007,37
179;23;1023,56;1002,14;31;1023,56;1002,05;33;1023,52;1007,44;23;1023,52;972,573;37;1023,53;981,079;29;1023,52;853,113;33;1023,52;1006,29;31;1023,56;1002,65
180;33;1023,56;1008,49;32;1023,56;1002,2;24;1023,56;996,662;24;1023,52;978,236;34;1023,52;969,686;33;1023,56;895,958;31;1023,52;996,288;29;1023,52;994,18
181;26;1023,56;1009,84;29;1023,56;997,786;22;1023,52;1002,42;27;1023,56;985,668;47;1023,52;971,766;31;1023,56;848,957;29;1023,56;1008,48;29;1023,56;999,113
182;29;1023,56;1005,58;36;1023,56;980,292;21;1023,56;1002,45;31;1023,56;974,968;40;1023,56;973,068;30;1023,56;854,868;24;1023,56;1005,35;29;1023,56;997,507
183;28;1023,56;1008,01;25;1023,56;1003,09;30;1023,56;1008,01;21;1023,56;978,284;49;1023,56;963,039;35;1023,56;859,634;27;1023,56;997,4;25;1023,56;997,52
184;25;1023,54;999,834;26;1023,56;998,723;26;1023,56;998,447;32;1023,56;978,781;35;1023,56;982,342;22;1023,56;859,423;36;1023,56;996,406;38;1023,56;998,284
185;23;1023,56;1010,39;24;1023,56;1007,55;24;1023,56;1011,43;40;1023,56;985,382;41;1023,56;977,408;32;1023,56;854,506;28;1023,56;1002,85;28;1023,56;990,28
186;36;1023,58;1008,27;34;1023,56;997,722;34;1023,6;998,8;18;1023,56;973,728;28;1023,56;987,194;37;1023,56;856,469;24;1023,56;1003,64;29;1023,56;997,093
187;24;1023,56;1012,45;26;1023,56;994,217;30;1023,58;991,391;28;1023,6;977,052;32;1023,6;978,717;39;1023,56;865,999;30;1025,49;998,133;31;1023,58;1002,93
188;27;1023,56;1002,48;30;1023,56;987,481;19;1023,6;984,676;30;1023,6;981,681;37;1025,49;987,777;26;1023,56;862,979;41;1023,58;1003,27;30;1023,6;1002,99
189;30;1023,6;999,333;32;1025,49;990,749;36;1023,6;1007,13;22;1023,6;986,958;37;1023,6;995,346;29;1023,6;838,307;23;1025,45;1005,34;31;1023,6;1004,64
190;32;1023,6;992,737;41;1023,6;992,397;20;1023,6;1011,47;21;1023,56;981,24;31;1023,6;972,12;28;1023,6;861,264;38;1023,6;1001,03;29;1023,6;996,929
191;25;1023,6;1010,19;35;1023,6;999,103;32;1023,6;1002,62;26;1023,6;981,686;34;1023,6;966,256;34;1023,6;850,308;24;1023,6;1010,4;30;1023,6;1003,08
192;23;1025,51;999,797;34;1023,6;998,07;32;1023,6;983,408;28;1023,6;985,104;31;1023,6;964,431;28;1023,6;847,145;35;1023,6;1005,52;29;1023,6;999,072
193;26;1023,6;1011,45;25;1023,6;1001,87;24;1023,6;1001,93;24;1023,6;965,339;44;1023,6;969,199;27;1023,6;898,101;41;1023,6;996,021;29;1023,6;994,099
194;28;1023,63;1010,43;29;1023,6;1000,42;29;1023,6;1009,75;24;1023,6;975,335;42;1023,6;981,673;35;1023,6;847,613;23;1023,6;1008,29;30;1023,6;1003,33
195;29;1023,6;999,134;31;1023,6;995,642;22;1023,6;991,85;24;1023,6;971,567;36;1023,63;980,89;36;1023,6;856,33;35;1023,6;1007,1;27;1023,6;1004,86
196;25;1023,6;1002,15;27;1023,6;985,621;27;1023,6;1005,91;21;1023,6;970,898;42;1023,63;967,504;40;1023,6;860,734;26;1023,6;999,69;32;1023,6;1005,48
197;33;1023,6;1009,86;28;1023,6;1000,6;27;1023,6;1008,45;23;1023,6;982,562;36;1023,6;970,21;31;1023,63;854,662;34;1023,6;987,536;28;1023,6;993,408
198;31;1023,6;1010,66;27;1023,6;1002,28;23;1023,6;996,141;20;1023,6;977,654;43;1023,6;966,001;39;1023,63;859,281;29;1023,6;1004,35;28;1023,6;991,696
199;24;1023,6;997,645;36;1023,6;997,873;24;1023,6;1002,65;26;1023,6;979,748;43;1023,6;975,676;30;1023,6;869,782;31;1023,61;995,533;26;1023,6;997,956
200;22;1023,6;1009,25;31;1024,53;1006,67;23;1023,6;999,588;20;1023,6;966,518;34;1023,6;982,384;38;1023,61;864,318;40;1023,6;1008,01;32;1023,6;989,089
201;28;1024,53;1010,46;27;1024,53;1003,32;34;1024,53;995,595;29;1023,61;985,125;28;1024,53;966,708;39;1023,61;893,772;26;1023,6;1000,73;29;1024,53;1007,39
202;31;1024,53;1011,57;29;1023,6;994,725;24;1024,53;998,045;21;1024,53;988,617;39;1024,53;987,174;39;1024,53;877,224;32;1024,53;1011,94;25;1024,53;999,575
203;24;1024,53;1011,01;32;1024,53;1007,9;38;1024,53;999,702;25;1024,53;978,378;33;1024,53;983,771;27;1024,53;853,78;35;1024,53;1009,6;26;1024,53;997,049
204;27;1024,53;1012,63;32;1024,53;992,548;28;1024,53;1007,04;26;1024,53;967,411;38;1024,53;982,81;39;1024,53;859,733;28;1024,53;1000,89;22;1024,53;997,357
205;21;1024,54;1002,05;41;1024,53;997,882;31;1024,56;1001,65;33;1024,53;977,991;32;1024,53;977,073;29;1024,53;851,837;28;1024,53;997,134;25;1024,53;987,308
206;31;1024,53;1018,31;26;1024,53;993,45;29;1024,56;1003,66;25;1024,53;977,777;38;1024,56;969,868;33;1024,53;853,293;21;1024,58;1009,18;37;1024,53;999,339
207;27;1024,53;1015,09;29;1024,56;994,649;25;1024,53;990,017;20;1024,53;981,401;44;1024,56;971,913;31;1024,53;849,467;36;1024,56;995,959;28;1024,58;999,11
208;32;1024,56;1014,95;23;1024,56;995,808;34;1024,56;994,533;19;1024,56;990,458;34;1024,56;971,781;39;1024,56;837,341;34;1024,56;1002,09;25;1024,56;996,167
209;28;1024,56;1014,77;27;1024,56;976,898;28;1024,56;1006,24;31;1024,56;974,244;28;1024,56;968,108;32;1024,56;871,508;29;1024,6;999,919;37;1024,56;989,203
210;31;1025,61;1018,45;27;1024,56;1000,44;22;1024,56;991,546;22;1024,56;970,965;30;1024,56;976,663;40;1024,56;851,399;34;1024,6;1008,9;34;1024,56;995,646
211;19;1024,56;1013,9;35;1025,61;1001,26;21;1024,65;1005,96;26;1025,61;977,82;30;1024,56;967,858;42;1025,61;851,916;34;1024,6;1003,12;33;1025,61;987,032
212;16;1025,61;1010,92;32;1024,56;993,859;29;1024,6;982,671;30;1024,6;981,252;39;1025,61;987,631;40;1024,6;857,29;25;1024,65;984,225;29;1024,56;1003,81
213;28;1025,61;1013,18;33;1025,61;987,181;20;1025,61;998,221;38;1024,65;977,627;45;1024,6;975,085;24;1025,61;853,087;19;1025,61;1008,76;33;1025,61;993,253
214;34;1025,61;1018,22;28;1025,61;1000,33;29;1025,61;1007,17;26;1025,61;971,988;42;1025,61;978,796;37;1025,61;864,479;26;1025,61;1009,81;18;1024,6;983,756
215;30;1025,61;1019,65;33;1025,61;996,419;32;1025,61;1001,24;18;1025,61;993,549;28;1025,61;982,887;40;1025,61;868,189;35;1025,61;1011,61;24;1025,61;991,913
216;25;1025,61;1021,66;26;1025,61;982,427;23;1025,61;1004,63;28;1025,61;975,258;45;1025,61;982,772;39;1025,61;892,569;32;1025,61;1002,34;22;1025,61;1014,52
217;29;1025,61;1016,66;40;1025,61;1003,09;28;1025,61;1011,53;22;1025,61;974,45;40;1025,61;989,405;30;1025,61;863,578;21;1025,61;1016,71;30;1025,61;1000,08
218;25;1025,66;1020,49;38;1025,61;998,447;26;1025,61;988,391;23;1025,61;990,765;37;1025,61;990,545;33;1025,61;855,783;29;1025,61;1007,27;29;1025,61;1007,99
219;11;1025,64;1011,68;31;1025,61;1005,26;23;1025,62;990,385;25;1025,61;983,865;30;1025,66;982,352;50;1025,61;825,806;37;1025,61;996,954;33;1025,61;1003,67
220;30;1025,61;988,334;36;1025,61;999,889;27;1025,61;987,216;27;1025,61;969,672;35;1025,62;964,561;28;1025,62;858,13;30;1025,61;1011,56;27;1025,61;1001,78
221;28;1025,66;1016,17;33;1025,62;1011,98;29;1025,62;1003,59;19;1022,72;982,044;26;1025,61;988,158;39;1025,62;846,916;42;1025,62;1001,27;24;1025,62;1012,37
222;34;1025,66;1016,13;27;1025,61;986,271;32;1025,62;999,683;25;1025,62;973,285;28;1025,62;992,631;35;1025,62;874,978;35;1025,62;1003,2;24;1025,62;1008,76
223;32;1025,66;1012,33;27;1025,62;998,336;38;1025,66;1000,74;11;1025,66;997,714;40;1025,66;980,908;26;1025,62;846,17;35;1025,66;1008,77;31;1025,62;1010,76
224;21;1025,66;1009,14;28;1025,66;991,582;29;1025,66;1010,04;24;1025,66;1001,02;48;1025,66;974,321;37;1025,66;859,785;18;1025,65;1012,44;35;1025,66;1001,29
225;22;1025,66;1018,84;29;1025,66;994,562;29;1025,75;1008,02;20;1025,66;975,907;40;1025,66;962,667;27;1025,66;890,061;48;1025,66;1005,62;25;1025,66;998,814
226;28;1025,66;1011,96;32;1025,66;1003,05;34;1025,66;1007,79;25;1025,66;983,371;28;1025,66;981,535;33;1025,75;881,189;34;1025,66;1013,1;26;1025,75;1009,75
227;23;1025,66;1021,28;31;1025,66;1003,43;28;1025,75;1001,32;24;1025,75;981,864;32;1025,66;988,524;33;1025,66;858,243;44;1025,66;1003,91;25;1025,66;1005,68
228;27;1025,66;1020,08;33;1025,75;992,316;21;1025,67;997,863;23;1025,66;981,956;30;1025,66;985,19;36;1025,66;867,556;32;1025,66;1006,79;38;1025,66;996,62
229;16;1025,66;1020,13;33;1025,66;990,331;31;1025,67;1000,35;16;1025,66;979,045;32;1025,66;980,253;37;1025,66;860,303;43;1025,66;1002,98;32;1025,75;1007,81
230;24;1025,66;1019,12;28;1025,67;990,972;27;1025,66;988,612;28;1025,66;983,299;36;1025,66;973,313;29;1025,66;834,426;39;1025,68;1010,65;29;1025,75;1000,35
231;19;1025,66;1008,83;32;1025,66;995,933;34;1025,66;1002,33;34;1025,66;985,541;31;1025,68;976,427;30;1025,66;861,881;29;1025,68;993,835;31;1025,66;1000,65
232;26;1025,66;1002,64;39;1025,68;999,991;35;1025,68;998,952;24;1025,66;981,767;34;1025,66;984,209;32;1025,66;849,324;20;1025,67;1003,65;30;1025,68;1004,93
233;28;1025,68;1015,7;37;1025,66;989,644;22;1025,66;984,856;24;1025,66;975,763;36;1025,68;985,655;37;1025,67;852,759;34;1025,67;998,96;22;1025,66;1004,75
234;30;1025,67;1013,58;36;1025,68;1001,31;33;1025,68;996,322;25;1025,67;981,659;29;1025,68;983,987;35;1025,66;851,804;25;1025,68;989,509;27;1025,68;1000,43
235;28;1025,68;1012,96;32;1025,67;1001,32;22;1025,68;1009,8;23;1025,68;977,809;45;1025,68;983,037;29;1025,68;883,994;34;1025,68;995,436;27;1025,68;995,469
236;24;1025,68;1020,87;35;1025,68;1002,46;26;1025,68;1007,71;24;1025,68;979,35;34;1025,68;987,874;37;1025,68;880,424;28;1025,68;1005,9;32;1025,68;1010,94
237;24;1025,68;1017,79;32;1025,68;998,782;23;1025,68;1014,31;30;1025,68;979,658;42;1025,68;989,027;28;1025,68;854,67;33;1025,68;1005,48;28;1025,68;1009,53
238;27;1025,68;1023,61;40;1025,68;990,761;19;1025,68;1004,4;26;1025,68;996,26;41;1025,68;984,858;36;1025,68;849,916;23;1025,68;995,19;28;1025,68;1005,61
239;28;1025,68;1009,25;30;1025,68;992,837;31;1025,71;1000,41;16;1025,68;986,405;30;1025,68;972,707;37;1025,68;881,135;38;1025,68;995,306;30;1025,68;1006,16
240;27;1025,68;1020,74;36;1025,68;999,083;32;1025,68;995,973;12;1025,68;975,045;40;1025,68;979,482;38;1025,68;867,274;23;1025,68;1004,73;32;1025,68;1009,7
241;30;1025,68;1004,48;30;1025,68;1003,85;20;1025,68;1011,95;19;1025,68;991,193;42;1025,68;994,213;38;1025,68;855,374;41;1025,68;1003,29;20;1025,68;996,27
242;17;1025,68;1021,14;37;1025,68;1002,64;29;1025,77;1011,79;22;1025,68;982,006;33;1025,68;974,879;31;1025,68;890,955;35;1025,68;1001,6;36;1025,68;995,146
243;33;1025,68;1020,72;26;1025,68;1006,99;28;1025,7;1009,74;22;1025,68;987,043;41;1025,68;993,841;28;1025,68;896,221;25;1025,68;1003,93;37;1025,77;1010,71
244;30;1025,68;1022,69;24;1025,68;1002,08;32;1025,68;1003,56;20;1025,68;987,493;40;1025,68;984,02;40;1025,7;841,225;33;1025,76;1013,58;21;1025,68;1009,31
245;26;1025,68;1015,86;17;1025,68;994,059;34;1025,76;1003,12;25;1025,7;972,348;43;1025,76;978,649;32;1025,68;853,626;30;1025,77;1004,14;33;1025,71;991,419
246;31;1025,68;1013,67;35;1025,76;1003,87;27;1025,68;990,688;20;1025,76;981,79;30;1025,77;981,027;39;1025,68;869,303;25;1025,76;1007,96;33;1025,7;1004,41
247;27;1025,77;1006,39;38;1025,76;993,531;31;1025,77;1005,43;24;1025,72;999,822;38;1025,7;989,279;34;1025,76;859,481;23;1025,7;1005,65;25;1025,68;1005,55
248;30;1025,77;1021;31;1025,76;968,927;33;1025,76;999,79;27;1025,76;972,374;35;1025,76;974,532;31;1025,76;834,783;32;1025,76;1012,45;21;1027,74;1015,85
249;28;1025,76;1017,27;27;1027,74;999,451;20;1025,76;984,174;35;1025,76;981,06;32;1025,76;979,258;35;1025,76;861,217;35;1025,76;1009,45;28;1025,76;999,312
250;31;1025,76;1015,04;31;1025,76;997,318;23;1025,76;1016,28;27;1025,76;977,339;38;1027,74;981,626;31;1025,76;830,042;26;1025,76;999,686;33;1025,76;1000,15
251;23;1027,74;1008,01;32;1025,76;996,189;26;1027,74;996,883;21;1025,7;966,398;39;1027,74;975,094;29;1025,76;863,014;30;1025,76;1000,82;40;1027,74;998,194
252;28;1027,74;1020,19;26;1027,74;1005,99;28;1027,74;1003,77;26;1027,74;978,231;34;1027,74;967,447;32;1027,74;849,059;33;1027,74;995,688;33;1027,74;1006,28
253;27;1027,74;1018,01;38;1027,74;987,985;19;1027,74;988,606;25;1027,74;956,416;32;1027,74;976,473;40;1027,74;873,203;38;1027,74;997,709;21;1027,74;1003,14
254;27;1027,74;1011,85;27;1027,74;999,141;36;1027,74;992,27;18;1027,74;988,744;38;1027,74;961,041;35;1027,74;855,234;33;1027,74;1010,26;26;1027,74;994,992
255;38;1027,74;1011,75;21;1027,74;981,782;27;1027,74;994,392;19;1027,74;976,87;39;1027,74;974,903;35;1027,74;839,561;34;1027,74;1010,78;27;1027,74;999,639
256;28;1027,74;1009,31;35;1027,74;981,763;28;1027,74;993,92;17;1027,74;990,84;41;1027,74;969,531;24;1027,74;852,296;31;1027,74;1002,51;36;1027,74;993,505
257;23;1027,74;1015,59;28;1027,74;1001,59;32;1027,75;1001,14;27;1027,74;983,842;35;1027,74;967,767;38;1027,74;867,932;34;1027,74;994,047;23;1027,74;1001,22
258;31;1027,74;1004,55;30;1027,74;993,757;21;1027,74;1002,03;22;1027,74;976,597;31;1027,74;977,289;45;1027,74;853,383;31;1027,74;1002,85;29;1027,74;1003,71
259;22;1027,74;1009,21;32;1027,74;990,851;29;1027,75;989,013;27;1027,74;966,41;29;1027,74;975,926;38;1027,74;858,026;33;1027,74;1004,37;30;1027,74;991,212
260;25;1027,75;1008,91;37;1027,74;989,884;19;1027,74;988,972;29;1027,74;977,253;40;1027,75;980,065;36;1027,74;844,459;30;1027,74;1007,88;24;1027,74;1000,94
261;35;1027,74;1016,07;27;1027,74;996,579;26;1027,75;998,844;25;1027,74;976,815;33;1027,74;973,216;32;1027,75;879,703;29;1027,74;995,879;33;1027,75;994,79
262;31;1027,75;1016,31;32;1027,75;998,363;23;1027,74;995,088;21;1027,75;988,686;37;1027,75;972,123;27;1027,75;854,321;26;1027,75;1004,16;43;1027,75;997,769
263;34;1027,75;1014,54;34;1027,75;993,12;32;1027,75;995,779;27;1027,75;963,199;30;1027,75;984,581;23;1027,75;853,24;33;1027,75;991,545;27;1027,75;988,753
264;32;1027,75;1011,37;34;1027,75;1000,93;22;1027,75;992,123;18;1027,75;987,627;35;1027,75;981,185;31;1027,75;855,144;30;1027,75;1001,59;38;1027,75;996,182
265;21;1027,75;1016,17;37;1027,75;994,767;33;1027,77;1001,73;26;1027,75;974,613;36;1027,75;977,883;34;1027,75;877,08;32;1027,75;999,827;21;1027,75;999,508
266;21;1027,77;1015,71;26;1027,75;1001,76;26;1027,77;1003,13;38;1027,75;974,602;35;1027,75;971,325;34;1027,75;853,581;36;1027,77;998,873;24;1027,75;997,325
267;28;1027,77;1001,3;18;1027,75;1004,88;23;1027,75;991,923;33;1027,77;980,315;42;1027,77;980,022;39;1027,77;855,178;24;1027,77;994,086;33;1027,77;994,633
268;20;1027,75;1003,47;36;1027,77;973,382;24;1027,77;1003,72;18;1027,77;979,699;49;1027,77;973,721;32;1027,77;879,737;34;1027,77;1007,53;27;1027,77;1007,68
269;20;1027,77;1012,61;32;1027,77;997,343;17;1027,77;1004,79;26;1027,77;973,461;44;1027,77;981,899;40;1027,77;835,684;31;1027,77;1004,54;30;1027,77;995,852
270;29;1027,77;1006,18;30;1027,77;990,636;19;1027,77;988,222;23;1027,77;969,97;34;1027,77;981,21;33;1027,77;842,075;34;1027,77;983,68;38;1027,77;990,166
271;21;1027,77;1004,53;39;1027,77;996,244;23;1027,77;989,903;23;1027,77;977,394;36;1027,77;991,643;39;1027,77;838,125;28;1027,77;995,661;31;1027,77;986,63
272;24;1027,77;997,792;21;1027,77;984,199;26;1027,77;984,063;29;1027,77;982,711;39;1027,77;974,443;36;1027,77;847,915;34;1027,77;996,177;31;1027,77;1000,24
273;27;1027,77;987,924;35;1027,77;996,433;23;1027,77;980,431;33;1027,77;983,939;38;1027,77;974,926;25;1027,77;845,9;26;1027,77;999,849;33;1027,77;1004,1
274;25;1027,77;1007,59;24;1027,77;992,857;32;1027,77;1004,55;26;1027,77;983,949;36;1027,77;971,734;34;1027,77;866,465;37;1027,77;991,918;26;1027,77;999,109
275;36;1027,77;996,865;21;1027,77;1004,99;22;1027,77;995,754;30;1027,77;994,951;38;1027,77;966,69;21;1027,77;868,406;36;1027,77;996,333;36;1027,77;1003,1
276;27;1027,77;1000,25;34;1027,77;997,402;19;1027,77;1013,74;21;1027,77;982,974;28;1027,77;985,078;34;1027,77;840,743;45;1027,77;1003,43;32;1027,77;993,275
277;27;1027,77;998,599;35;1027,77;992,42;17;1022,81;1005,98;29;1027,77;975,213;43;1027,77;971,422;39;1027,77;887,494;28;1027,77;1003,32;22;1027,77;994,028
278;22;1027,77;1002,89;26;1027,77;995,384;23;1027,77;1004,4;32;1027,77;977,649;39;1027,77;981,836;38;1027,77;844,007;36;1027,77;1001,37;24;1027,77;1005,11
279;23;1027,77;1002,67;35;1027,77;986,842;22;1027,77;994,284;25;1027,77;960,371;43;1027,77;978,935;24;1027,77;876,169;38;1027,77;994,855;30;1027,77;1001,92
280;15;1027,77;1011,45;31;1027,77;992,981;28;1027,77;1007,01;32;1027,77;982,245;36;1027,77;977,059;33;1027,77;885,421;35;1027,77;1005,12;30;1027,77;997,256
281;29;1027,77;1003,11;39;1027,77;1004,34;25;1027,77;1007,35;30;1027,77;971,615;33;1027,77;984,64;28;1027,77;879,535;23;1027,77;1000,01;33;1027,77;989,707
282;22;1027,77;1005,28;31;1027,77;1005,75;26;1027,77;993,11;20;1027,77;961,016;41;1027,77;989,931;44;1027,77;854,537;28;1027,77;1007,58;28;1027,77;1002,66
283;26;1027,77;1000,95;36;1027,77;988,38;25;1027,77;994,997;27;1027,77;981,211;30;1027,77;978,475;30;1027,77;844,549;32;1027,77;992,525;34;1027,77;995,817
284;35;1027,77;996,39;33;1027,77;991,706;18;1027,77;994,388;24;1027,77;973,329;39;1027,77;966,162;32;1027,77;830,342;33;1027,77;995,019;26;1027,77;994,503
285;29;1027,77;1009;33;1027,77;996,85;22;1027,77;1000,06;27;1027,77;977,231;26;1027,77;963,194;34;1027,77;850,505;31;1027,77;990,298;38;1027,77;992,499
286;30;1027,77;1005,03;45;1027,77;987,502;24;1027,77;1007,04;25;1027,77;983,933;32;1027,77;965,509;29;1027,77;869,485;32;1027,77;1006,07;23;1027,77;979,856
287;26;1028,74;1002,88;26;1027,77;998,614;25;1027,77;997,501;20;1027,77;984,175;40;1027,77;970,095;38;1027,77;853,212;38;1027,77;1003,99;27;1027,77;1007,07
288;22;1027,77;996,802;29;1027,77;988,872;24;1027,77;1001,52;23;1027,77;980,299;42;1028,74;977,432;35;1027,77;834,82;34;1027,77;1005,93;31;1028,74;996,476
289;27;1027,77;1004,68;27;1028,74;995,723;33;1027,77;997,323;19;1028,74;970,367;35;1028,74;989,355;38;1028,74;868,884;33;1027,77;982,976;28;1028,74;990,76
290;29;1027,77;1000,71;41;1028,74;984,776;35;1028,74;1005,59;19;1028,74;980,454;33;1027,77;968,07;33;1028,74;871,075;29;1028,74;1006,43;21;1028,74;1002,42
291;28;1028,74;1003;31;1028,74;995,703;24;1028,74;1001,3;25;1028,74;976,133;35;1028,74;978,571;38;1028,74;854,935;33;1028,74;1003,39;26;1028,74;987,937
292;18;1028,74;1012,62;33;1028,74;987,55;22;1028,74;998,617;22;1028,74;976,44;36;1028,74;985,668;42;1028,74;862,977;38;1028,74;999,95;29;1028,74;997,054
293;31;1028,74;1011,07;21;1028,74;984,56;30;1028,76;996,882;16;1028,74;976,057;42;1028,74;977,532;43;1028,74;852,119;28;1028,74;997,714;29;1028,74;1001,77
294;18;1032,69;1006,65;32;1028,76;985,138;33;1028,76;1007,42;24;1028,74;989,254;42;1028,74;982,907;35;1028,74;859,761;24;1028,74;1000,82;32;1028,74;996,672
295;26;1032,69;1001,56;21;1028,76;991,237;22;1028,74;1007,39;30;1028,74;972,684;34;1028,74;979,53;34;1032,69;840,222;36;1028,76;1006,63;37;1028,74;1002,34
296;23;1032,69;1012,44;34;1028,74;973,395;32;1028,74;997,182;28;1032,69;990,363;38;1032,69;968,618;28;1028,74;854,327;32;1032,69;999,838;25;1032,69;998,005
297;22;1032,69;1018,88;34;1032,69;992,682;26;1032,69;997,149;27;1032,69;991,112;29;1032,69;966,927;32;1032,69;857,652;34;1032,69;1010,67;36;1032,69;996,027
298;25;1032,69;1015,61;36;1032,69;1004,67;24;1032,69;995,341;25;1032,69;978,203;35;1032,69;967,331;38;1032,69;860,939;32;1032,69;997,614;25;1032,69;1001,56
299;23;1032,69;1014,77;27;1032,69;992,68;17;1032,69;1016,76;32;1032,69;972,651;39;1032,7;973,091;44;1032,69;880,826;29;1032,69;999,946;29;1032,69;994,118
300;29;1032,69;1020,65;30;1032,69;1001,28;22;1032,69;993,571;15;1032,69;989,236;33;1032,69;970,632;35;1032,69;849,105;37;1032,69;1001,08;39;1032,69;1002,73
301;23;1032,69;1022,79;30;1032,69;991,696;26;1032,69;1002,57;23;1032,69;974,988;39;1032,69;974,74;33;1032,69;874,774;25;1032,69;1010,64;41;1032,69;1001,36
302;27;1032,69;1024,56;33;1032,69;999,662;30;1032,69;996,453;30;1032,69;985,794;32;1032,69;971,61;37;1032,69;912,736;31;1032,69;1011,25;20;1032,69;1010,12
303;25;1032,69;1026,56;28;1032,69;1006,04;24;1032,69;1014,5;32;1032,69;982,186;38;1032,69;991,532;37;1032,69;845,462;36;1032,69;1010,85;20;1032,69;1009,42
304;28;1032,69;1019,62;36;1032,69;995,522;27;1032,75;1008,77;19;1032,69;998,312;38;1032,69;981,929;30;1032,69;853,928;35;1032,69;992,091;27;1032,69;1009,72
305;29;1032,69;1014,7;30;1032,75;1004,52;27;1032,69;1005,02;31;1032,69;983,28;29;1032,69;979,861;40;1032,69;839,465;21;1032,69;1016,67;33;1032,69;986,884
306;25;1032,69;1029,77;28;1032,69;974,162;32;1032,69;980,65;25;1032,75;984,34;34;1032,69;982,133;28;1032,69;870,427;32;1032,69;1001,7;36;1032,69;1007,18
307;37;1032,69;1017,57;25;1032,69;993,97;22;1032,69;1008,65;29;1032,75;981,996;35;1032,69;981,045;30;1032,69;838,342;29;1032,69;1004,56;33;1032,69;1009,63
308;20;1032,69;1018,87;40;1032,69;1003,94;30;1032,69;1002,17;28;1032,75;987,623;39;1032,69;970,592;29;1032,69;836,605;26;1032,69;1011,81;28;1032,69;995,553
309;29;1032,69;1027,25;28;1032,75;987,742;30;1032,75;1000,25;24;1032,75;975,806;28;1032,75;991,566;37;1032,75;855,604;36;1032,75;1004,73;28;1032,69;993,55
310;22;1032,69;1028,97;20;1032,75;1006,48;33;1032,75;1002,61;34;1032,75;986,646;38;1032,75;948,531;32;1032,75;838,033;27;1032,69;1010,36;34;1032,75;1009,21
311;30;1032,75;1006,28;31;1032,75;992,034;26;1032,75;997,925;14;1032,75;990,351;48;1032,75;963,892;26;1032,75;861,729;42;1032,75;1010,99;23;1032,75;1003,89
