iteration,exchange,exchangeRandom,inversion,swap,add,addRandomly,shift,change
773,27,22,18,263,10,13,20,27
774,21,12,15,277,15,22,17,21
775,15,13,19,294,23,14,7,15
776,28,19,16,254,14,25,21,23
777,14,16,22,277,20,19,17,15
778,18,17,16,287,21,12,13,16
779,16,20,15,276,18,22,15,18
780,16,17,25,273,12,24,15,18
781,11,31,21,267,24,20,15,11
782,9,20,15,280,27,14,18,17
783,20,26,19,263,19,17,24,12
784,10,28,16,293,12,6,13,22
785,15,23,88,212,12,13,16,21
786,13,17,76,221,20,13,24,16
787,25,32,122,147,25,13,25,11
788,9,21,90,195,24,18,23,20
789,28,19,65,225,11,17,20,15
790,16,18,61,221,18,19,16,31
791,21,14,105,176,19,16,20,29
792,17,19,101,202,14,16,15,16
793,16,34,65,221,18,23,15,8
794,13,21,47,246,17,24,22,10
795,13,17,49,231,24,26,23,17
796,10,27,41,252,16,20,15,19
797,8,19,30,254,19,20,29,21
798,17,17,26,279,17,17,13,14
799,15,20,18,274,19,15,19,20
800,16,21,25,253,22,28,20,15
801,14,16,27,252,19,28,17,27
802,15,19,25,274,15,17,16,19
803,18,15,23,280,15,24,15,10
804,18,15,20,287,8,25,12,15
805,17,22,20,273,17,19,18,14
806,24,15,29,268,13,19,20,12
807,20,18,28,255,26,22,11,20
808,22,21,12,276,18,19,14,18
809,20,18,15,288,12,24,12,11
810,17,13,15,277,25,16,17,20
811,19,20,19,278,19,21,14,10
812,16,19,24,273,15,25,10,18
813,21,11,27,275,22,7,17,20
814,16,13,23,286,14,18,13,17
815,24,18,19,276,12,17,14,20
816,20,16,21,261,23,20,16,23
817,26,19,21,268,19,17,13,17
818,18,11,12,282,22,15,20,20
819,15,19,22,271,21,19,18,15
820,24,18,21,277,10,13,22,15
821,14,20,22,292,13,6,21,12
822,14,13,24,279,13,20,21,16
823,20,23,26,268,14,12,20,17
824,11,16,14,276,16,17,26,24
825,19,14,18,279,14,12,29,15
826,9,17,22,285,15,14,21,17
827,16,14,25,276,9,14,30,16
828,20,24,17,287,12,15,13,12
829,21,28,19,251,12,22,24,23
830,15,15,31,263,28,17,13,18
831,23,16,14,277,18,12,24,16
832,9,23,12,282,21,12,20,21
833,11,18,23,284,21,13,10,20
834,5,25,23,279,18,14,16,20
835,14,16,22,281,14,11,22,20
836,11,20,20,290,9,20,14,16
837,16,21,20,269,21,18,12,23
838,22,22,27,266,11,19,17,16
839,15,16,14,292,11,14,15,23
840,20,14,17,272,15,19,20,23
841,22,20,21,274,19,11,14,19
842,13,18,18,280,21,15,17,18
843,17,22,12,284,20,15,13,17
844,15,14,16,274,27,17,15,22
845,11,21,11,283,26,15,16,17
846,20,18,21,264,29,16,17,15
847,22,17,12,284,25,15,19,6
848,17,16,21,271,22,20,16,17
849,12,26,11,274,22,16,20,19
850,17,21,17,274,20,19,16,16
851,21,25,12,262,17,32,20,11
852,30,31,12,269,20,13,15,10
853,18,26,16,275,10,26,14,15
854,19,15,19,279,18,20,15,15
855,28,23,11,263,16,17,21,21
856,26,14,18,258,20,18,25,21
857,26,15,18,276,16,8,18,23
858,29,12,15,277,15,15,9,28
859,18,20,19,271,21,19,8,24
860,12,20,17,288,22,15,11,15
861,11,20,20,265,23,17,20,24
862,20,9,20,268,22,18,24,19
863,18,15,19,264,18,24,15,27
864,19,15,21,269,17,22,13,24
865,18,17,17,277,12,23,14,22
866,15,21,31,250,19,26,20,18
867,8,27,24,275,17,15,17,17
868,23,89,30,190,19,20,13,16
869,23,65,22,206,15,25,21,23
870,17,46,20,239,18,23,21,16
871,12,41,23,249,18,18,18,21
872,21,43,22,259,17,10,12,16
873,20,28,18,267,12,15,21,19
874,23,19,21,262,18,15,26,16
875,19,22,18,283,14,17,17,10
876,29,17,12,269,11,26,13,23
877,10,22,21,285,17,19,9,17
878,12,14,20,262,19,26,25,22
879,17,18,16,274,9,24,23,19
880,12,18,15,283,18,19,13,22
881,13,16,16,271,23,19,24,18
882,14,10,24,273,17,21,23,18
883,9,20,18,264,26,18,26,19
884,22,21,12,278,15,16,23,13
885,16,22,10,292,15,11,22,12
886,14,19,18,284,16,19,16,14
887,16,23,22,281,13,15,15,15
888,15,18,21,277,18,14,20,17
889,11,24,19,282,16,17,10,21
890,22,18,23,276,22,15,13,11
891,16,89,19,202,27,19,15,13
892,14,68,23,212,12,27,24,20
893,23,49,21,232,21,16,22,16
894,18,48,16,230,21,25,24,18
895,80,40,25,181,26,18,16,14
896,142,19,25,137,20,16,15,26
897,117,26,23,159,19,23,16,17
898,54,32,16,215,28,21,14,20
899,143,22,20,143,18,21,16,17
900,107,103,20,108,27,10,13,12
901,72,74,16,160,21,21,20,16
902,63,45,25,188,25,23,16,15
903,45,46,24,211,20,17,19,18
904,38,29,21,233,18,25,16,20
905,34,41,16,247,15,13,17,17
906,30,25,22,247,27,18,13,18
907,14,28,93,180,25,19,15,26
908,18,36,67,191,31,22,16,19
909,23,16,65,224,27,15,15,15
910,15,12,56,248,25,16,9,19
911,20,12,44,243,23,15,20,23
912,17,23,28,255,16,13,24,24
913,19,18,32,259,23,21,10,18
914,14,17,30,271,16,22,16,14
915,16,24,21,262,18,15,18,26
916,11,18,27,255,14,26,24,25
917,17,22,27,272,11,20,21,10
918,15,13,16,277,13,23,28,15
919,10,16,33,263,9,29,19,21
920,22,25,19,261,13,24,21,15
921,19,19,16,273,17,26,15,15
922,16,13,14,282,13,21,18,23
923,17,24,19,269,18,17,20,16
924,19,17,24,268,16,17,21,18
925,15,19,31,254,17,22,22,20
926,13,16,24,289,13,16,10,19
927,26,5,14,284,20,28,10,13
928,11,12,22,280,19,17,17,22
929,20,17,23,271,24,19,17,9
930,15,33,16,266,23,17,17,13
931,19,21,19,280,21,12,13,15
932,23,18,19,280,23,8,12,17
933,24,22,16,270,22,11,13,22
934,24,25,12,275,17,16,14,17
935,20,23,24,200,20,24,11,78
936,26,19,16,225,13,23,13,65
937,24,23,20,221,20,23,17,52
938,27,13,20,227,24,22,20,47
939,21,16,15,266,10,18,16,38
940,16,23,24,250,14,24,12,37
941,11,12,12,212,105,14,15,19
942,9,14,17,139,149,27,19,26
943,12,15,22,111,98,14,98,30
944,15,15,23,81,71,22,151,22
945,18,21,18,63,62,23,178,17
946,13,15,19,54,47,20,204,28
947,15,12,20,36,40,20,239,18
948,15,18,29,34,30,9,164,101
949,22,17,27,26,24,14,121,149
950,19,23,15,102,23,21,81,116
951,21,12,24,80,37,11,141,74
952,18,26,25,60,16,16,104,135
953,17,22,13,103,28,9,90,118
954,26,13,25,79,17,15,144,81
955,17,18,14,70,17,21,180,63
956,23,20,26,120,11,18,141,41
957,88,20,17,112,17,21,87,38
958,65,20,14,67,17,20,74,123
959,50,19,13,50,18,20,150,80
960,48,20,18,37,19,15,186,57
961,129,20,16,26,16,19,123,51
962,149,17,18,38,18,25,96,39
963,195,20,12,22,12,22,71,46
964,201,18,18,26,27,21,49,40
965,238,12,25,21,28,16,37,23
966,188,12,10,19,94,21,29,27
967,124,18,18,20,126,28,45,21
968,90,16,11,12,97,107,42,25
969,72,23,18,24,150,71,23,19
970,60,20,17,21,171,65,22,24
971,40,19,17,20,208,52,25,19
972,28,14,19,13,237,43,20,26
973,38,19,15,16,169,109,17,17
974,28,17,10,16,123,170,19,17
975,28,14,13,13,180,115,19,18
976,22,16,11,13,125,170,14,29
977,30,19,20,19,157,136,8,11
978,24,24,15,18,197,85,20,17
979,22,15,18,26,225,56,20,18
980,23,18,12,17,248,54,17,11
981,17,20,11,17,239,51,25,20
982,17,18,21,17,255,38,16,18
983,17,16,22,12,260,27,24,22
984,14,16,30,15,259,29,15,22
985,14,17,19,20,261,25,16,28
986,13,18,21,14,262,27,22,23
987,18,17,30,16,270,20,17,12
988,18,24,16,12,263,24,23,20
989,25,17,20,12,272,21,19,14
990,29,17,12,18,273,21,15,15
991,24,23,18,15,261,31,15,13
992,13,20,24,13,263,20,31,16
993,11,27,26,11,267,23,17,18
994,18,23,20,15,264,25,22,13
995,16,18,9,19,270,28,19,21
996,17,25,6,19,290,16,14,13
997,12,20,8,12,287,31,19,11
998,15,17,10,18,280,29,16,15
999,19,17,12,15,280,21,15,21
